account_id,account,sector,year_established,annual_revenue_usd_millions,employees,office_location,subsidiary_of
A001,Acme Corporation,technology,1996,1100.04,2822,United States,
A002,Betasoloin,medical,1999,251.41,495,United States,
A003,Betatech,medical,1986,647.18,1185,Kenya,
A004,Bioholding,medical,2012,587.34,1356,Philipines,
A005,Bioplex,medical,1991,326.82,1016,United States,
A006,Blackzim,retail,2009,497.11,1588,United States,
A007,Bluth Company,technology,1993,1242.32,3027,United States,Acme Corporation
A008,Bubba Gump,software,2002,987.39,2253,United States,
A009,Cancity,retail,2001,718.62,2448,United States,
A010,Cheers,entertainment,1993,4269.9,6472,United States,Massive Dynamic
A011,Codehow,software,1998,2714.9,2641,United States,Acme Corporation
A012,Condax,medical,2017,4.54,9,United States,
A013,Conecom,technology,2005,1520.66,1806,United States,
A014,Dalttechnology,software,2013,98.79,96,United States,Bubba Gump
A015,Domzoom,entertainment,1998,217.87,551,United States,
A016,Doncon,technology,2010,587.72,1501,United States,
A017,Donquadtech,technology,1992,1712.68,3194,United States,Acme Corporation
A018,Dontechi,software,1982,4618.0,10083,United States,
A019,Donware,marketing,1999,1197.44,2570,United States,
A020,Fasehatice,retail,1990,4968.91,7523,United States,
A021,Faxquote,telecommunications,1995,1825.82,5595,United States,Sonron
A022,Finhigh,finance,2006,1102.43,1759,United States,
A023,Finjob,employment,1988,2059.9,3644,United States,
A024,Funholding,finance,1991,2819.5,7227,United States,Golddex
A025,Ganjaflex,retail,1995,5158.71,17479,Japan,
A026,Gekko & Co,retail,1990,2520.83,3502,United States,
A027,Genco Pura Olive Oil Company,retail,2007,894.33,1635,Italy,
A028,Globex Corporation,technology,2000,1223.72,2497,Norway,
A029,Gogozoom,telecommunications,2007,86.68,187,United States,Sonron
A030,Golddex,finance,2008,52.5,165,United States,
A031,Goodsilron,marketing,2000,2952.73,5107,United States,
A032,Green-Plus,services,2003,692.19,1922,United States,
A033,Groovestreet,retail,2003,223.8,299,United States,
A034,Hatfan,services,1982,792.46,1299,United States,
A035,Hottechi,technology,1997,8170.38,16499,Korea,
A036,Initech,telecommunications,1994,6395.05,20275,United States,
A037,Inity,marketing,1986,2403.58,8801,United States,
A038,Isdom,medical,2002,3178.24,4540,United States,
A039,Iselectrics,technology,2011,527.11,1428,United States,Acme Corporation
A040,J-Texon,retail,1989,1388.67,3583,United States,
A041,Kan-code,software,1982,11698.03,34288,United States,
A042,Kinnamplus,retail,2004,702.72,1831,United States,
A043,Konex,technology,1980,7708.38,13756,United States,
A044,Konmatfix,marketing,1985,375.43,1190,United States,
A045,Labdrill,medical,1985,2741.37,9226,United States,
A046,Lexiqvolax,medical,2004,1618.89,3889,United States,
A047,Massive Dynamic,entertainment,1989,665.06,1095,United States,
A048,Mathtouch,marketing,1984,3027.46,9516,Jordan,
A049,Nam-zim,services,1987,405.59,1179,Brazil,Warephase
A050,Newex,services,1991,1012.72,3492,Germany,
A051,Ontomedia,employment,1997,882.12,2769,United States,
A052,Opentech,finance,1994,355.23,853,United States,
A053,Plexzap,retail,2001,2437.85,4874,United States,
A054,Plusstrip,entertainment,2002,349.81,315,United States,
A055,Plussunin,retail,2003,1419.98,4018,United States,
A056,Rangreen,technology,1987,2938.67,8775,Panama,
A057,Rantouch,telecommunications,1994,1188.42,3015,United States,
A058,Ron-tech,medical,1992,3922.42,6837,United States,
A059,Rundofase,technology,1983,1008.06,1238,United States,
A060,Scotfind,software,1996,6354.87,16780,United States,Bubba Gump
A061,Scottech,marketing,2012,45.39,100,United States,Inity
A062,Silis,medical,1994,2818.38,6290,United States,
A063,Singletechno,retail,1996,2214.94,5374,United States,
A064,Sonron,telecommunications,1999,1699.85,5108,United States,
A065,Stanredtax,finance,1987,1698.2,3798,United States,
A066,Statholdings,employment,1997,291.27,586,United States,
A067,Streethex,retail,1988,1376.8,1165,Belgium,
A068,Sumace,retail,2000,167.89,493,Romania,
A069,Sunnamplex,marketing,2008,894.37,1593,Poland,
A070,The New York Inquirer,medical,1996,439.21,792,United States,
A071,Toughzap,retail,1995,332.43,799,United States,
A072,Treequote,telecommunications,1988,5266.09,8595,United States,Sonron
A073,Umbrella Corporation,finance,1998,2022.14,5113,United States,
A074,Vehement Capital Partners,finance,1993,646.1,883,United States,Golddex
A075,Warephase,services,1997,2041.73,5276,United States,
A076,Xx-holding,finance,1993,7537.24,20293,United States,
A077,Xx-zobam,entertainment,1989,3838.39,8274,United States,
A078,Y-corporation,employment,1983,2871.35,9561,United States,
A079,Yearin,retail,2005,2261.05,3851,United States,
A080,Zathunicon,retail,2010,71.12,144,United States,
A081,Zencorporation,technology,2011,40.79,142,China,
A082,Zoomit,entertainment,1992,324.19,978,United States,
A083,Zotware,software,1979,4478.47,13809,United States,
A084,Zumgoity,medical,1984,441.08,1210,United States,
A085,dambase,marketing,1995,2173.98,2928,United States,Inity
