week_start,regional_office,opportunities,won_deals,lost_deals,open_deals,won_deal_value,closed_win_rate,median_won_cycle_days,accounts_observed,sellers_with_opportunities,missing_account
2017-02-27,Central,38,33,5,0,58171,0.868421052631579,75,23,10,0
2017-02-27,East,31,26,5,0,63089,0.8387096774193549,20.5,19,8,0
2017-02-27,West,27,23,4,0,44403,0.8518518518518519,92,18,10,0
2017-03-06,Central,59,42,17,0,65937,0.711864406779661,90.5,22,10,0
2017-03-06,East,32,29,3,0,55264,0.90625,76,18,10,0
2017-03-06,West,55,47,8,0,141785,0.8545454545454545,67,23,10,0
2017-03-13,Central,52,42,10,0,86963,0.8076923076923077,69.5,24,10,0
2017-03-13,East,36,32,4,0,71216,0.8888888888888888,77.5,21,8,0
2017-03-13,West,63,53,10,0,131924,0.8412698412698413,71,26,10,0
2017-03-20,Central,59,47,12,0,94687,0.7966101694915254,78,25,10,0
2017-03-20,East,42,32,10,0,80358,0.7619047619047619,75.5,24,10,0
2017-03-20,West,40,35,5,0,74423,0.875,77,23,10,0
2017-03-27,Central,44,32,12,0,50653,0.7272727272727273,68.5,22,9,0
2017-03-27,East,48,31,17,0,72103,0.6458333333333334,65,23,9,0
2017-03-27,West,57,44,13,0,80170,0.7719298245614035,69.5,26,9,0
2017-04-03,Central,51,23,28,0,65620,0.45098039215686275,7,24,10,0
2017-04-03,East,32,15,17,0,50699,0.46875,8,19,10,0
2017-04-03,West,49,26,23,0,72011,0.5306122448979592,7.0,24,10,0
2017-04-10,Central,62,24,38,0,48389,0.3870967741935484,7.0,27,10,0
2017-04-10,East,39,21,18,0,53102,0.5384615384615384,7,23,10,0
2017-04-10,West,49,22,27,0,56756,0.4489795918367347,6.0,24,9,0
2017-04-17,Central,57,24,33,0,48755,0.42105263157894735,8.0,26,10,0
2017-04-17,East,38,14,24,0,39909,0.3684210526315789,4.5,20,10,0
2017-04-17,West,42,22,20,0,78223,0.5238095238095238,7.0,21,9,0
2017-04-24,Central,39,26,13,0,41088,0.6666666666666666,7.0,20,10,0
2017-04-24,East,32,17,15,0,60401,0.53125,6,21,9,0
2017-04-24,West,60,34,26,0,70505,0.5666666666666667,7.0,28,10,0
2017-05-01,Central,62,37,25,0,83210,0.5967741935483871,70,28,10,0
2017-05-01,East,47,22,25,0,36614,0.46808510638297873,55.5,25,10,0
2017-05-01,West,61,36,25,0,87891,0.5901639344262295,71.0,25,10,0
2017-05-08,Central,71,39,32,0,88199,0.5492957746478874,71,28,10,0
2017-05-08,East,47,27,20,0,81324,0.574468085106383,75,21,10,0
2017-05-08,West,54,29,25,0,70528,0.5370370370370371,66,25,10,0
2017-05-15,Central,73,39,34,0,54003,0.5342465753424658,72,28,10,0
2017-05-15,East,54,34,20,0,115934,0.6296296296296297,62.0,24,10,0
2017-05-15,West,52,27,25,0,81276,0.5192307692307693,67,23,10,0
2017-05-22,Central,82,41,41,0,94448,0.5,73,28,10,0
2017-05-22,East,52,33,19,0,76736,0.6346153846153846,75,24,10,0
2017-05-22,West,72,35,37,0,76631,0.4861111111111111,68,31,10,0
2017-05-29,Central,61,47,14,0,86503,0.7704918032786885,80,25,10,0
2017-05-29,East,54,36,18,0,104066,0.6666666666666666,77.0,24,10,0
2017-05-29,West,51,34,17,0,70427,0.6666666666666666,71.0,29,10,0
2017-06-05,Central,56,48,8,0,80345,0.8571428571428571,66.5,26,10,0
2017-06-05,East,51,40,11,0,135279,0.7843137254901961,77.0,25,10,0
2017-06-05,West,49,39,10,0,97289,0.7959183673469388,74,26,10,0
2017-06-12,Central,66,56,10,0,95600,0.8484848484848485,80.5,26,10,0
2017-06-12,East,37,32,5,0,72327,0.8648648648648649,68.5,18,10,0
2017-06-12,West,34,28,6,0,101057,0.8235294117647058,90.0,21,10,0
2017-06-19,Central,53,48,5,0,88199,0.9056603773584906,65.0,26,10,0
2017-06-19,East,31,24,7,0,82608,0.7741935483870968,67.5,20,9,0
2017-06-19,West,62,46,16,0,78829,0.7419354838709677,76.5,25,10,0
2017-06-26,Central,57,43,14,0,102165,0.7543859649122807,48,25,10,0
2017-06-26,East,51,35,16,0,117361,0.6862745098039216,33,24,10,0
2017-06-26,West,48,38,10,0,155589,0.7916666666666666,77.5,26,9,0
2017-07-03,Central,66,35,31,0,87943,0.5303030303030303,8,29,10,0
2017-07-03,East,42,19,23,0,54583,0.4523809523809524,8,24,9,0
2017-07-03,West,52,17,35,0,37830,0.3269230769230769,8,28,10,0
2017-07-10,Central,47,23,24,0,46291,0.48936170212765956,8,24,10,0
2017-07-10,East,38,18,20,0,27978,0.47368421052631576,7.5,21,10,0
2017-07-10,West,51,19,32,0,44252,0.37254901960784315,9,27,10,0
2017-07-17,Central,42,20,22,0,40651,0.47619047619047616,4.5,24,10,0
2017-07-17,East,31,15,16,0,49247,0.4838709677419355,9,20,9,0
2017-07-17,West,37,21,16,0,36733,0.5675675675675675,6,23,10,0
2017-07-24,Central,72,42,30,0,75601,0.5833333333333334,7.0,27,10,0
2017-07-24,East,39,21,18,0,42849,0.5384615384615384,7,22,10,0
2017-07-24,West,49,22,27,0,66357,0.4489795918367347,9.0,25,10,0
2017-07-31,Central,77,45,32,0,78778,0.5844155844155844,61,28,10,0
2017-07-31,East,59,36,23,0,87141,0.6101694915254238,76.0,25,10,0
2017-07-31,West,52,24,28,0,60533,0.46153846153846156,62.0,28,10,0
2017-08-07,Central,74,42,32,0,83047,0.5675675675675675,81.5,26,10,0
2017-08-07,East,46,31,15,0,91024,0.6739130434782609,50,23,9,0
2017-08-07,West,58,35,23,0,65922,0.603448275862069,60,25,10,0
2017-08-14,Central,69,39,30,0,92840,0.5652173913043478,81,25,10,0
2017-08-14,East,38,20,18,0,51262,0.5263157894736842,66.5,22,10,0
2017-08-14,West,65,46,19,0,132896,0.7076923076923077,76.0,28,10,0
2017-08-21,Central,72,36,36,0,103015,0.5,71.0,28,10,0
2017-08-21,East,50,31,19,0,72511,0.62,54,23,10,0
2017-08-21,West,56,28,28,0,51352,0.5,56.5,27,10,0
2017-08-28,Central,68,44,24,0,85694,0.6470588235294118,66.0,27,10,0
2017-08-28,East,40,27,13,0,59010,0.675,53,20,10,0
2017-08-28,West,43,29,14,0,95681,0.6744186046511628,78,24,9,0
2017-09-04,Central,48,31,17,0,55538,0.6458333333333334,65,25,10,0
2017-09-04,East,41,33,8,0,84960,0.8048780487804879,62,21,10,0
2017-09-04,West,50,39,11,0,104129,0.78,73,23,10,0
2017-09-11,Central,67,50,17,0,112300,0.746268656716418,77.5,22,10,0
2017-09-11,East,48,38,10,0,93911,0.7916666666666666,66.0,27,10,0
2017-09-11,West,49,42,7,0,117065,0.8571428571428571,75.5,25,10,0
2017-09-18,Central,43,37,6,0,74187,0.8604651162790697,77,20,10,0
2017-09-18,East,55,44,11,0,115141,0.8,80.5,25,10,0
2017-09-18,West,42,36,6,0,89878,0.8571428571428571,78.0,22,9,0
2017-09-25,Central,46,39,7,0,95466,0.8478260869565217,68,21,9,0
2017-09-25,East,42,27,15,0,68292,0.6428571428571429,79,19,9,0
2017-09-25,West,53,40,13,0,118876,0.7547169811320755,62.0,25,10,0
2017-10-02,Central,62,24,38,0,56928,0.3870967741935484,8.0,27,10,0
2017-10-02,East,38,19,19,0,59541,0.5,7,19,10,0
2017-10-02,West,41,17,24,0,38353,0.4146341463414634,7,17,10,0
2017-10-09,Central,58,30,28,0,78620,0.5172413793103449,7.0,24,10,0
2017-10-09,East,28,17,11,0,53187,0.6071428571428571,7,20,10,0
2017-10-09,West,42,20,22,0,41125,0.47619047619047616,2.0,24,9,0
2017-10-16,Central,51,22,29,0,49633,0.43137254901960786,3.0,25,10,0
2017-10-16,East,26,12,14,0,22248,0.46153846153846156,9.0,18,10,0
2017-10-16,West,34,19,15,0,55846,0.5588235294117647,4,19,10,0
2017-10-23,Central,57,33,24,0,80538,0.5789473684210527,7,24,10,0
2017-10-23,East,36,17,19,0,53554,0.4722222222222222,7,21,10,0
2017-10-23,West,48,22,26,0,82701,0.4583333333333333,7.0,23,10,0
2017-10-30,Central,72,43,29,0,92916,0.5972222222222222,56,27,10,0
2017-10-30,East,42,21,21,0,57262,0.5,28,21,10,0
2017-10-30,West,52,28,24,0,54587,0.5384615384615384,17.0,28,10,0
2017-11-06,Central,64,31,33,0,59456,0.484375,69,24,10,0
2017-11-06,East,47,27,20,0,67006,0.574468085106383,64,22,10,0
2017-11-06,West,58,34,24,0,127742,0.5862068965517241,41.0,27,10,0
2017-11-13,Central,64,29,35,0,61578,0.453125,73,28,10,0
2017-11-13,East,46,25,21,0,52218,0.5434782608695652,65,22,10,0
2017-11-13,West,65,41,24,0,91253,0.6307692307692307,76,26,10,0
2017-11-20,Central,65,31,34,0,55794,0.47692307692307695,63,24,10,0
2017-11-20,East,51,27,24,0,51955,0.5294117647058824,69,22,10,0
2017-11-20,West,63,35,28,0,79576,0.5555555555555556,65,27,9,0
2017-11-27,Central,55,32,23,0,67376,0.5818181818181818,68.5,26,10,0
2017-11-27,East,47,22,25,0,61499,0.46808510638297873,66.0,25,10,0
2017-11-27,West,63,34,29,0,68284,0.5396825396825397,77.5,28,10,0
2017-12-04,Central,49,38,11,0,109085,0.7755102040816326,77.5,26,9,0
2017-12-04,East,50,34,16,0,100484,0.68,65.0,22,10,0
2017-12-04,West,50,46,4,0,100217,0.92,71.0,26,10,0
2017-12-11,Central,53,41,12,0,70344,0.7735849056603774,83,28,10,0
2017-12-11,East,37,26,11,0,73327,0.7027027027027027,74.5,24,10,0
2017-12-11,West,45,41,4,0,70298,0.9111111111111111,67,23,10,0
2017-12-18,Central,60,48,12,0,102471,0.8,76.5,22,10,0
2017-12-18,East,43,30,13,0,62366,0.6976744186046512,81.5,22,10,0
2017-12-18,West,53,41,12,0,74557,0.7735849056603774,75,28,10,0
2017-12-25,Central,61,53,8,0,97268,0.8688524590163934,82,27,10,0
2017-12-25,East,44,34,10,0,109648,0.7727272727272727,81.5,22,10,0
2017-12-25,West,53,44,9,0,92887,0.8301886792452831,62.0,23,10,0
