id,name,source_dimension_id,sector,segment,parent_id,history_complete,source_kind,scenario_id
A001,Demo account 001,A001,technology,Growth,GROUP-01,False,synthetic,planning-v2-seed-20260920
A002,Demo account 002,A002,medical,Enterprise,,True,synthetic,planning-v2-seed-20260920
A003,Demo account 003,A003,medical,Scale,,True,synthetic,planning-v2-seed-20260920
A004,Demo account 004,A004,medical,Growth,,True,synthetic,planning-v2-seed-20260920
A005,Demo account 005,A005,medical,Enterprise,,True,synthetic,planning-v2-seed-20260920
A006,Demo account 006,A006,retail,Scale,,False,synthetic,planning-v2-seed-20260920
A007,Demo account 007,A007,technology,Growth,,True,synthetic,planning-v2-seed-20260920
A008,Demo account 008,A008,software,Enterprise,,True,synthetic,planning-v2-seed-20260920
A009,Demo account 009,A009,retail,Scale,,True,synthetic,planning-v2-seed-20260920
A010,Demo account 010,A010,entertainment,Growth,,True,synthetic,planning-v2-seed-20260920
A011,Demo account 011,A011,software,Enterprise,,False,synthetic,planning-v2-seed-20260920
A012,Demo account 012,A012,medical,Scale,GROUP-01,True,synthetic,planning-v2-seed-20260920
A013,Demo account 013,A013,technology,Growth,,True,synthetic,planning-v2-seed-20260920
A014,Demo account 014,A014,software,Enterprise,,True,synthetic,planning-v2-seed-20260920
A015,Demo account 015,A015,entertainment,Scale,,True,synthetic,planning-v2-seed-20260920
A016,Demo account 016,A016,technology,Growth,,False,synthetic,planning-v2-seed-20260920
A017,Demo account 017,A017,technology,Enterprise,,True,synthetic,planning-v2-seed-20260920
A018,Demo account 018,A018,software,Scale,,True,synthetic,planning-v2-seed-20260920
A019,Demo account 019,A019,marketing,Growth,,True,synthetic,planning-v2-seed-20260920
A020,Demo account 020,A020,retail,Enterprise,,True,synthetic,planning-v2-seed-20260920
A021,Demo account 021,A021,telecommunications,Scale,,False,synthetic,planning-v2-seed-20260920
A022,Demo account 022,A022,finance,Growth,,True,synthetic,planning-v2-seed-20260920
A023,Demo account 023,A023,employment,Enterprise,GROUP-01,True,synthetic,planning-v2-seed-20260920
A024,Demo account 024,A024,finance,Scale,,True,synthetic,planning-v2-seed-20260920
A025,Demo account 025,A025,retail,Growth,,True,synthetic,planning-v2-seed-20260920
A026,Demo account 026,A026,retail,Enterprise,,False,synthetic,planning-v2-seed-20260920
A027,Demo account 027,A027,retail,Scale,,True,synthetic,planning-v2-seed-20260920
A028,Demo account 028,A028,technology,Growth,,True,synthetic,planning-v2-seed-20260920
A029,Demo account 029,A029,telecommunications,Enterprise,,True,synthetic,planning-v2-seed-20260920
A030,Demo account 030,A030,finance,Scale,,True,synthetic,planning-v2-seed-20260920
