id,opportunity_id,seller_id,date,type,minutes,qualified_next_step,segment,source_kind,scenario_id
ACT-0001-0,SIM-0001,S001,2026-04-23,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0001-1,SIM-0001,S001,2026-05-01,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0001-2,SIM-0001,S001,2026-05-09,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0001-3,SIM-0001,S001,2026-05-17,Discovery,45,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0001-4,SIM-0001,S001,2026-05-25,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0001-5,SIM-0001,S001,2026-06-11,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0002-0,SIM-0002,S002,2026-05-27,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0002-1,SIM-0002,S002,2026-06-07,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0002-2,SIM-0002,S002,2026-06-18,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0002-3,SIM-0002,S002,2026-06-29,Discovery,45,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0002-4,SIM-0002,S002,2026-07-10,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0002-5,SIM-0002,S002,2026-07-20,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0003-0,SIM-0003,S003,2026-04-29,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0003-1,SIM-0003,S003,2026-05-17,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0003-2,SIM-0003,S003,2026-06-04,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0003-3,SIM-0003,S003,2026-06-22,Discovery,45,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0003-4,SIM-0003,S003,2026-07-10,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0003-5,SIM-0003,S003,2026-08-18,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0004-0,SIM-0004,S004,2026-06-20,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0004-1,SIM-0004,S004,2026-06-28,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0004-2,SIM-0004,S004,2026-07-06,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0004-3,SIM-0004,S004,2026-07-14,Discovery,45,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0004-4,SIM-0004,S004,2026-07-22,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0004-5,SIM-0004,S004,2026-08-07,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0005-0,SIM-0005,S005,2026-03-05,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0005-1,SIM-0005,S005,2026-03-19,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0005-2,SIM-0005,S005,2026-04-03,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0005-3,SIM-0005,S005,2026-04-17,Discovery,45,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0005-4,SIM-0005,S005,2026-05-02,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0005-5,SIM-0005,S005,2026-05-29,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0006-0,SIM-0006,S006,2026-03-23,Admin,35,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0006-1,SIM-0006,S006,2026-04-05,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0006-2,SIM-0006,S006,2026-04-18,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0006-3,SIM-0006,S006,2026-05-01,Discovery,45,False,Scale,synthetic,planning-v2-seed-20260920
ACT-0006-4,SIM-0006,S006,2026-05-14,Admin,35,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0006-5,SIM-0006,S006,2026-06-08,Discovery,45,True,Scale,synthetic,planning-v2-seed-20260920
ACT-0007-0,SIM-0007,S007,2026-08-13,Admin,35,False,Growth,synthetic,planning-v2-seed-20260920
ACT-0007-1,SIM-0007,S007,2026-08-27,Discovery,45,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0007-2,SIM-0007,S007,2026-09-10,Admin,35,True,Growth,synthetic,planning-v2-seed-20260920
ACT-0008-0,SIM-0008,S008,2026-03-22,Admin,35,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0008-1,SIM-0008,S008,2026-03-27,Discovery,45,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0008-2,SIM-0008,S008,2026-04-02,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0008-3,SIM-0008,S008,2026-04-08,Discovery,45,False,Enterprise,synthetic,planning-v2-seed-20260920
ACT-0008-4,SIM-0008,S008,2026-04-14,Admin,35,True,Enterprise,synthetic,planning-v2-seed-20260920
