month,region,channel,acquisition_cost,source_kind
2026-01,Central,Outbound,10000,synthetic
2026-01,Central,Inbound,6500,synthetic
2026-01,Central,Partner,6500,synthetic
2026-01,East,Outbound,10000,synthetic
2026-01,East,Inbound,6500,synthetic
2026-01,East,Partner,6500,synthetic
2026-01,West,Outbound,10000,synthetic
2026-01,West,Inbound,6500,synthetic
2026-01,West,Partner,6500,synthetic
2026-02,Central,Outbound,10000,synthetic
2026-02,Central,Inbound,6500,synthetic
2026-02,Central,Partner,6500,synthetic
2026-02,East,Outbound,10000,synthetic
2026-02,East,Inbound,6500,synthetic
2026-02,East,Partner,6500,synthetic
2026-02,West,Outbound,10000,synthetic
2026-02,West,Inbound,6500,synthetic
2026-02,West,Partner,6500,synthetic
2026-03,Central,Outbound,10000,synthetic
2026-03,Central,Inbound,6500,synthetic
2026-03,Central,Partner,6500,synthetic
2026-03,East,Outbound,10000,synthetic
2026-03,East,Inbound,6500,synthetic
2026-03,East,Partner,6500,synthetic
2026-03,West,Outbound,10000,synthetic
2026-03,West,Inbound,6500,synthetic
2026-03,West,Partner,6500,synthetic
2026-04,Central,Outbound,10000,synthetic
2026-04,Central,Inbound,6500,synthetic
2026-04,Central,Partner,6500,synthetic
2026-04,East,Outbound,10000,synthetic
2026-04,East,Inbound,6500,synthetic
2026-04,East,Partner,6500,synthetic
2026-04,West,Outbound,10000,synthetic
2026-04,West,Inbound,6500,synthetic
2026-04,West,Partner,6500,synthetic
2026-05,Central,Outbound,10000,synthetic
2026-05,Central,Inbound,6500,synthetic
2026-05,Central,Partner,6500,synthetic
2026-05,East,Outbound,10000,synthetic
2026-05,East,Inbound,6500,synthetic
2026-05,East,Partner,6500,synthetic
2026-05,West,Outbound,10000,synthetic
2026-05,West,Inbound,6500,synthetic
2026-05,West,Partner,6500,synthetic
2026-06,Central,Outbound,10000,synthetic
2026-06,Central,Inbound,6500,synthetic
2026-06,Central,Partner,6500,synthetic
2026-06,East,Outbound,10000,synthetic
2026-06,East,Inbound,6500,synthetic
2026-06,East,Partner,6500,synthetic
2026-06,West,Outbound,10000,synthetic
2026-06,West,Inbound,6500,synthetic
2026-06,West,Partner,6500,synthetic
2026-07,Central,Outbound,10000,synthetic
2026-07,Central,Inbound,6500,synthetic
2026-07,Central,Partner,6500,synthetic
2026-07,East,Outbound,10000,synthetic
2026-07,East,Inbound,6500,synthetic
2026-07,East,Partner,6500,synthetic
2026-07,West,Outbound,10000,synthetic
2026-07,West,Inbound,6500,synthetic
2026-07,West,Partner,6500,synthetic
2026-08,Central,Outbound,10000,synthetic
2026-08,Central,Inbound,6500,synthetic
2026-08,Central,Partner,6500,synthetic
2026-08,East,Outbound,10000,synthetic
2026-08,East,Inbound,6500,synthetic
2026-08,East,Partner,6500,synthetic
2026-08,West,Outbound,10000,synthetic
2026-08,West,Inbound,6500,synthetic
2026-08,West,Partner,6500,synthetic
2026-09,Central,Outbound,10000,synthetic
2026-09,Central,Inbound,6500,synthetic
2026-09,Central,Partner,6500,synthetic
2026-09,East,Outbound,10000,synthetic
2026-09,East,Inbound,6500,synthetic
2026-09,East,Partner,6500,synthetic
2026-09,West,Outbound,10000,synthetic
2026-09,West,Inbound,6500,synthetic
2026-09,West,Partner,6500,synthetic
