id,region,signed_date,first_payment_date,segment,source_kind,scenario_id
MER-001,Central,2026-01-01,,Growth,synthetic,planning-v2-seed-20260920
MER-002,East,2026-01-04,2026-01-08,Enterprise,synthetic,planning-v2-seed-20260920
MER-003,West,2026-01-07,2026-01-12,Scale,synthetic,planning-v2-seed-20260920
MER-004,Central,2026-01-10,2026-01-16,Growth,synthetic,planning-v2-seed-20260920
MER-005,East,2026-01-13,2026-01-20,Enterprise,synthetic,planning-v2-seed-20260920
MER-006,West,2026-01-16,2026-01-24,Scale,synthetic,planning-v2-seed-20260920
MER-007,Central,2026-01-19,2026-01-28,Growth,synthetic,planning-v2-seed-20260920
MER-008,East,2026-01-22,2026-02-01,Enterprise,synthetic,planning-v2-seed-20260920
MER-009,West,2026-01-25,,Scale,synthetic,planning-v2-seed-20260920
MER-010,Central,2026-01-28,2026-02-09,Growth,synthetic,planning-v2-seed-20260920
MER-011,East,2026-01-31,2026-02-13,Enterprise,synthetic,planning-v2-seed-20260920
MER-012,West,2026-02-03,2026-02-17,Scale,synthetic,planning-v2-seed-20260920
MER-013,Central,2026-02-06,2026-02-21,Growth,synthetic,planning-v2-seed-20260920
MER-014,East,2026-02-09,2026-02-25,Enterprise,synthetic,planning-v2-seed-20260920
MER-015,West,2026-02-12,2026-03-01,Scale,synthetic,planning-v2-seed-20260920
MER-016,Central,2026-02-15,2026-03-05,Growth,synthetic,planning-v2-seed-20260920
MER-017,East,2026-02-18,,Enterprise,synthetic,planning-v2-seed-20260920
MER-018,West,2026-02-21,2026-03-13,Scale,synthetic,planning-v2-seed-20260920
MER-019,Central,2026-02-24,2026-03-17,Growth,synthetic,planning-v2-seed-20260920
MER-020,East,2026-02-27,2026-03-02,Enterprise,synthetic,planning-v2-seed-20260920
MER-021,West,2026-03-02,2026-03-06,Scale,synthetic,planning-v2-seed-20260920
MER-022,Central,2026-03-05,2026-03-10,Growth,synthetic,planning-v2-seed-20260920
MER-023,East,2026-03-08,2026-03-14,Enterprise,synthetic,planning-v2-seed-20260920
MER-024,West,2026-03-11,2026-03-18,Scale,synthetic,planning-v2-seed-20260920
MER-025,Central,2026-03-14,,Growth,synthetic,planning-v2-seed-20260920
MER-026,East,2026-03-17,2026-03-26,Enterprise,synthetic,planning-v2-seed-20260920
MER-027,West,2026-03-20,2026-03-30,Scale,synthetic,planning-v2-seed-20260920
MER-028,Central,2026-03-23,2026-04-03,Growth,synthetic,planning-v2-seed-20260920
MER-029,East,2026-03-26,2026-04-07,Enterprise,synthetic,planning-v2-seed-20260920
MER-030,West,2026-03-29,2026-04-11,Scale,synthetic,planning-v2-seed-20260920
MER-031,Central,2026-04-01,2026-04-15,Growth,synthetic,planning-v2-seed-20260920
MER-032,East,2026-04-04,2026-04-19,Enterprise,synthetic,planning-v2-seed-20260920
MER-033,West,2026-04-07,,Scale,synthetic,planning-v2-seed-20260920
MER-034,Central,2026-04-10,2026-04-27,Growth,synthetic,planning-v2-seed-20260920
MER-035,East,2026-04-13,2026-05-01,Enterprise,synthetic,planning-v2-seed-20260920
MER-036,West,2026-04-16,2026-05-05,Scale,synthetic,planning-v2-seed-20260920
MER-037,Central,2026-04-19,2026-05-09,Growth,synthetic,planning-v2-seed-20260920
MER-038,East,2026-04-22,2026-05-13,Enterprise,synthetic,planning-v2-seed-20260920
MER-039,West,2026-04-25,2026-04-28,Scale,synthetic,planning-v2-seed-20260920
MER-040,Central,2026-04-28,2026-05-02,Growth,synthetic,planning-v2-seed-20260920
MER-041,East,2026-05-01,,Enterprise,synthetic,planning-v2-seed-20260920
MER-042,West,2026-05-04,2026-05-10,Scale,synthetic,planning-v2-seed-20260920
MER-043,Central,2026-05-07,2026-05-14,Growth,synthetic,planning-v2-seed-20260920
MER-044,East,2026-05-10,2026-05-18,Enterprise,synthetic,planning-v2-seed-20260920
MER-045,West,2026-05-13,2026-05-22,Scale,synthetic,planning-v2-seed-20260920
MER-046,Central,2026-05-16,2026-05-26,Growth,synthetic,planning-v2-seed-20260920
MER-047,East,2026-05-19,2026-05-30,Enterprise,synthetic,planning-v2-seed-20260920
MER-048,West,2026-05-22,2026-06-03,Scale,synthetic,planning-v2-seed-20260920
MER-049,Central,2026-05-25,,Growth,synthetic,planning-v2-seed-20260920
MER-050,East,2026-05-28,2026-06-11,Enterprise,synthetic,planning-v2-seed-20260920
MER-051,West,2026-05-31,2026-06-15,Scale,synthetic,planning-v2-seed-20260920
MER-052,Central,2026-06-03,2026-06-19,Growth,synthetic,planning-v2-seed-20260920
MER-053,East,2026-06-06,2026-06-23,Enterprise,synthetic,planning-v2-seed-20260920
MER-054,West,2026-06-09,2026-06-27,Scale,synthetic,planning-v2-seed-20260920
MER-055,Central,2026-06-12,2026-07-01,Growth,synthetic,planning-v2-seed-20260920
MER-056,East,2026-06-15,2026-07-05,Enterprise,synthetic,planning-v2-seed-20260920
MER-057,West,2026-06-18,,Scale,synthetic,planning-v2-seed-20260920
MER-058,Central,2026-06-21,2026-06-24,Growth,synthetic,planning-v2-seed-20260920
MER-059,East,2026-06-24,2026-06-28,Enterprise,synthetic,planning-v2-seed-20260920
MER-060,West,2026-06-27,2026-07-02,Scale,synthetic,planning-v2-seed-20260920
