id,merchant_id,date,status,amount,platform_fee,source_kind,scenario_id
PAY-002-1,MER-002,2026-01-18,Succeeded,124,3.4,synthetic,planning-v2-seed-20260920
PAY-002-2,MER-002,2026-01-28,Succeeded,135,3.67,synthetic,planning-v2-seed-20260920
PAY-002-3,MER-002,2026-02-07,Succeeded,146,3.95,synthetic,planning-v2-seed-20260920
PAY-002-4,MER-002,2026-02-17,Succeeded,157,4.23,synthetic,planning-v2-seed-20260920
PAY-002-5,MER-002,2026-02-27,Succeeded,168,4.5,synthetic,planning-v2-seed-20260920
PAY-002-6,MER-002,2026-03-09,Succeeded,179,4.78,synthetic,planning-v2-seed-20260920
PAY-002-7,MER-002,2026-03-19,Succeeded,190,5.05,synthetic,planning-v2-seed-20260920
PAY-002-8,MER-002,2026-03-29,Failed,201,0,synthetic,planning-v2-seed-20260920
PAY-002-9,MER-002,2026-04-08,Succeeded,212,5.6,synthetic,planning-v2-seed-20260920
PAY-002-10,MER-002,2026-04-18,Succeeded,223,5.88,synthetic,planning-v2-seed-20260920
PAY-003-1,MER-003,2026-01-22,Succeeded,137,3.73,synthetic,planning-v2-seed-20260920
PAY-003-2,MER-003,2026-02-01,Succeeded,148,4.0,synthetic,planning-v2-seed-20260920
PAY-003-3,MER-003,2026-02-11,Succeeded,159,4.28,synthetic,planning-v2-seed-20260920
PAY-003-4,MER-003,2026-02-21,Succeeded,170,4.55,synthetic,planning-v2-seed-20260920
PAY-003-5,MER-003,2026-03-03,Succeeded,181,4.83,synthetic,planning-v2-seed-20260920
PAY-003-6,MER-003,2026-03-13,Succeeded,192,5.1,synthetic,planning-v2-seed-20260920
PAY-003-7,MER-003,2026-03-23,Failed,203,0,synthetic,planning-v2-seed-20260920
PAY-003-8,MER-003,2026-04-02,Succeeded,214,5.65,synthetic,planning-v2-seed-20260920
PAY-003-9,MER-003,2026-04-12,Succeeded,225,5.92,synthetic,planning-v2-seed-20260920
PAY-003-10,MER-003,2026-04-22,Succeeded,236,6.2,synthetic,planning-v2-seed-20260920
PAY-004-1,MER-004,2026-01-26,Succeeded,150,4.05,synthetic,planning-v2-seed-20260920
PAY-004-2,MER-004,2026-02-05,Succeeded,161,4.33,synthetic,planning-v2-seed-20260920
PAY-004-3,MER-004,2026-02-15,Succeeded,172,4.6,synthetic,planning-v2-seed-20260920
PAY-004-4,MER-004,2026-02-25,Succeeded,183,4.88,synthetic,planning-v2-seed-20260920
PAY-004-5,MER-004,2026-03-07,Succeeded,194,5.15,synthetic,planning-v2-seed-20260920
PAY-004-6,MER-004,2026-03-17,Failed,205,0,synthetic,planning-v2-seed-20260920
PAY-004-7,MER-004,2026-03-27,Succeeded,216,5.7,synthetic,planning-v2-seed-20260920
PAY-004-8,MER-004,2026-04-06,Succeeded,227,5.98,synthetic,planning-v2-seed-20260920
PAY-004-9,MER-004,2026-04-16,Succeeded,238,6.25,synthetic,planning-v2-seed-20260920
PAY-004-10,MER-004,2026-04-26,Succeeded,249,6.53,synthetic,planning-v2-seed-20260920
PAY-005-1,MER-005,2026-01-30,Succeeded,163,4.38,synthetic,planning-v2-seed-20260920
PAY-005-2,MER-005,2026-02-09,Succeeded,174,4.65,synthetic,planning-v2-seed-20260920
PAY-005-3,MER-005,2026-02-19,Succeeded,185,4.92,synthetic,planning-v2-seed-20260920
PAY-005-4,MER-005,2026-03-01,Succeeded,196,5.2,synthetic,planning-v2-seed-20260920
PAY-005-5,MER-005,2026-03-11,Failed,207,0,synthetic,planning-v2-seed-20260920
PAY-005-6,MER-005,2026-03-21,Succeeded,218,5.75,synthetic,planning-v2-seed-20260920
PAY-005-7,MER-005,2026-03-31,Succeeded,229,6.03,synthetic,planning-v2-seed-20260920
PAY-005-8,MER-005,2026-04-10,Succeeded,240,6.3,synthetic,planning-v2-seed-20260920
PAY-005-9,MER-005,2026-04-20,Succeeded,251,6.58,synthetic,planning-v2-seed-20260920
PAY-005-10,MER-005,2026-04-30,Succeeded,262,6.85,synthetic,planning-v2-seed-20260920
PAY-006-1,MER-006,2026-02-03,Succeeded,176,4.7,synthetic,planning-v2-seed-20260920
PAY-006-2,MER-006,2026-02-13,Succeeded,187,4.97,synthetic,planning-v2-seed-20260920
PAY-006-3,MER-006,2026-02-23,Succeeded,198,5.25,synthetic,planning-v2-seed-20260920
PAY-006-4,MER-006,2026-03-05,Failed,209,0,synthetic,planning-v2-seed-20260920
PAY-006-5,MER-006,2026-03-15,Succeeded,220,5.8,synthetic,planning-v2-seed-20260920
PAY-006-6,MER-006,2026-03-25,Succeeded,231,6.08,synthetic,planning-v2-seed-20260920
PAY-006-7,MER-006,2026-04-04,Succeeded,242,6.35,synthetic,planning-v2-seed-20260920
PAY-006-8,MER-006,2026-04-14,Succeeded,253,6.62,synthetic,planning-v2-seed-20260920
PAY-006-9,MER-006,2026-04-24,Succeeded,264,6.9,synthetic,planning-v2-seed-20260920
PAY-006-10,MER-006,2026-05-04,Succeeded,275,7.17,synthetic,planning-v2-seed-20260920
PAY-007-1,MER-007,2026-02-07,Succeeded,189,5.03,synthetic,planning-v2-seed-20260920
PAY-007-2,MER-007,2026-02-17,Succeeded,200,5.3,synthetic,planning-v2-seed-20260920
PAY-007-3,MER-007,2026-02-27,Failed,211,0,synthetic,planning-v2-seed-20260920
PAY-007-4,MER-007,2026-03-09,Succeeded,222,5.85,synthetic,planning-v2-seed-20260920
PAY-007-5,MER-007,2026-03-19,Succeeded,233,6.12,synthetic,planning-v2-seed-20260920
PAY-007-6,MER-007,2026-03-29,Succeeded,244,6.4,synthetic,planning-v2-seed-20260920
PAY-007-7,MER-007,2026-04-08,Succeeded,255,6.67,synthetic,planning-v2-seed-20260920
PAY-007-8,MER-007,2026-04-18,Succeeded,266,6.95,synthetic,planning-v2-seed-20260920
PAY-007-9,MER-007,2026-04-28,Succeeded,277,7.23,synthetic,planning-v2-seed-20260920
PAY-007-10,MER-007,2026-05-08,Succeeded,288,7.5,synthetic,planning-v2-seed-20260920
PAY-008-1,MER-008,2026-02-11,Succeeded,202,5.35,synthetic,planning-v2-seed-20260920
PAY-008-2,MER-008,2026-02-21,Failed,213,0,synthetic,planning-v2-seed-20260920
PAY-008-3,MER-008,2026-03-03,Succeeded,224,5.9,synthetic,planning-v2-seed-20260920
PAY-008-4,MER-008,2026-03-13,Succeeded,235,6.17,synthetic,planning-v2-seed-20260920
PAY-008-5,MER-008,2026-03-23,Succeeded,246,6.45,synthetic,planning-v2-seed-20260920
PAY-008-6,MER-008,2026-04-02,Succeeded,257,6.73,synthetic,planning-v2-seed-20260920
PAY-008-7,MER-008,2026-04-12,Succeeded,268,7.0,synthetic,planning-v2-seed-20260920
PAY-008-8,MER-008,2026-04-22,Succeeded,279,7.28,synthetic,planning-v2-seed-20260920
