id,opportunity_id,seller_id,booking_date,activation_date,recognition_date,amount,short_cycle,product,segment,source_kind,scenario_id
REV-0002-0,SIM-0002,S002,2026-07-20,2026-08-03,2026-08-03,38400.0,False,GTX Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0002-1,SIM-0002,S002,2026-07-20,2026-08-03,2026-09-02,25600.0,False,GTX Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0004-0,SIM-0004,S004,2026-08-07,2026-08-21,2026-08-21,9600.0,False,GTX Plus Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0004-1,SIM-0004,S004,2026-08-07,2026-08-21,2026-09-20,6400.0,False,GTX Plus Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0008-0,SIM-0008,S008,2026-05-03,2026-05-17,2026-05-17,15600.0,False,GTK 500,Enterprise,synthetic,planning-v2-seed-20260920
REV-0008-1,SIM-0008,S008,2026-05-03,2026-05-17,2026-06-16,10400.0,False,GTK 500,Enterprise,synthetic,planning-v2-seed-20260920
REV-0010-0,SIM-0010,S010,2026-05-07,2026-05-21,2026-05-21,21600.0,False,GTX Plus Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0010-1,SIM-0010,S010,2026-05-07,2026-05-21,2026-06-20,14400.0,False,GTX Plus Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0013-0,SIM-0013,S013,2026-04-13,2026-04-27,2026-04-27,5400.0,False,MG Advanced,Growth,synthetic,planning-v2-seed-20260920
REV-0013-1,SIM-0013,S013,2026-04-13,2026-04-27,2026-05-27,3600.0,False,MG Advanced,Growth,synthetic,planning-v2-seed-20260920
REV-0017-0,SIM-0017,S017,2026-02-01,2026-02-15,2026-02-15,43200.0,False,GTX Plus Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0017-1,SIM-0017,S017,2026-02-01,2026-02-15,2026-03-17,28800.0,False,GTX Plus Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0018-0,SIM-0018,S018,2026-08-13,2026-08-27,2026-08-27,51600.0,False,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0018-1,SIM-0018,S018,2026-08-13,2026-08-27,2026-09-26,34400.0,False,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0020-0,SIM-0020,S020,2026-02-28,2026-03-14,2026-03-14,37800.0,False,MG Advanced,Enterprise,synthetic,planning-v2-seed-20260920
REV-0020-1,SIM-0020,S020,2026-02-28,2026-03-14,2026-04-13,25200.0,False,MG Advanced,Enterprise,synthetic,planning-v2-seed-20260920
REV-0025-0,SIM-0025,S025,2026-06-27,2026-07-11,2026-07-11,59400.0,False,GTX Plus Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0025-1,SIM-0025,S025,2026-06-27,2026-07-11,2026-08-10,39600.0,False,GTX Plus Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0028-0,SIM-0028,S028,2026-06-25,2026-07-09,2026-07-09,30000.0,False,MG Special,Growth,synthetic,planning-v2-seed-20260920
REV-0028-1,SIM-0028,S028,2026-06-25,2026-07-09,2026-08-08,20000.0,False,MG Special,Growth,synthetic,planning-v2-seed-20260920
REV-0037-0,SIM-0037,S002,2026-08-14,2026-08-28,2026-08-28,24000.0,False,GTX Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0037-1,SIM-0037,S002,2026-08-14,2026-08-28,2026-09-27,16000.0,False,GTX Basic,Growth,synthetic,planning-v2-seed-20260920
REV-0038-0,SIM-0038,S003,2026-06-25,2026-07-09,2026-07-09,13200.0,False,GTX Plus Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0038-1,SIM-0038,S003,2026-06-25,2026-07-09,2026-08-08,8800.0,False,GTX Plus Basic,Enterprise,synthetic,planning-v2-seed-20260920
REV-0039-0,SIM-0039,S004,2026-07-02,2026-07-16,2026-07-16,25200.0,False,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0039-1,SIM-0039,S004,2026-07-02,2026-07-16,2026-08-15,16800.0,False,GTX Plus Pro,Scale,synthetic,planning-v2-seed-20260920
REV-0040-0,SIM-0040,S005,2026-09-05,2026-09-19,2026-09-19,31200.0,False,GTX Pro,Growth,synthetic,planning-v2-seed-20260920
REV-0040-1,SIM-0040,S005,2026-09-05,2026-09-19,2026-10-19,20800.0,False,GTX Pro,Growth,synthetic,planning-v2-seed-20260920
