seller_id,valid_from,valid_to,region,manager,quota_bearing,employed,source_kind,scenario_id
S001,2025-01-01,2026-12-31,Central,Central manager 1,1,1,synthetic,planning-v2-seed-20260920
S002,2025-01-01,2026-12-31,East,East manager 2,1,1,synthetic,planning-v2-seed-20260920
S003,2025-01-01,2026-12-31,West,West manager 1,1,1,synthetic,planning-v2-seed-20260920
S004,2025-01-01,2026-12-31,West,West manager 2,1,1,synthetic,planning-v2-seed-20260920
S005,2025-01-01,2026-12-31,East,East manager 1,1,1,synthetic,planning-v2-seed-20260920
S006,2025-01-01,2026-12-31,Central,Central manager 2,1,1,synthetic,planning-v2-seed-20260920
S007,2025-01-01,2026-12-31,East,East manager 1,1,1,synthetic,planning-v2-seed-20260920
S008,2025-01-01,2026-12-31,East,East manager 2,1,1,synthetic,planning-v2-seed-20260920
S009,2025-01-01,2026-12-31,Central,Central manager 1,1,1,synthetic,planning-v2-seed-20260920
S010,2025-01-01,2026-12-31,East,East manager 2,1,1,synthetic,planning-v2-seed-20260920
S011,2025-01-01,2026-12-31,West,West manager 1,1,1,synthetic,planning-v2-seed-20260920
S012,2025-01-01,2026-12-31,East,East manager 2,1,1,synthetic,planning-v2-seed-20260920
S013,2025-01-01,2026-12-31,East,East manager 1,1,1,synthetic,planning-v2-seed-20260920
S014,2025-01-01,2026-12-31,Central,Central manager 2,1,1,synthetic,planning-v2-seed-20260920
S015,2025-01-01,2026-12-31,West,West manager 1,1,1,synthetic,planning-v2-seed-20260920
S016,2025-01-01,2026-12-31,West,West manager 2,1,1,synthetic,planning-v2-seed-20260920
S017,2025-01-01,2026-12-31,Central,Central manager 1,1,1,synthetic,planning-v2-seed-20260920
S018,2025-01-01,2026-12-31,West,West manager 2,1,1,synthetic,planning-v2-seed-20260920
S019,2025-01-01,2026-12-31,West,West manager 1,1,1,synthetic,planning-v2-seed-20260920
S020,2025-01-01,2026-12-31,Central,Central manager 2,1,1,synthetic,planning-v2-seed-20260920
S021,2025-01-01,2026-12-31,West,West manager 1,1,1,synthetic,planning-v2-seed-20260920
S022,2025-01-01,2026-12-31,Central,Central manager 2,1,1,synthetic,planning-v2-seed-20260920
S023,2025-01-01,2026-12-31,West,West manager 1,1,1,synthetic,planning-v2-seed-20260920
S024,2025-01-01,2026-12-31,Central,Central manager 2,1,1,synthetic,planning-v2-seed-20260920
S025,2025-01-01,2026-12-31,Central,Central manager 1,1,1,synthetic,planning-v2-seed-20260920
S026,2025-01-01,2026-12-31,East,East manager 2,1,1,synthetic,planning-v2-seed-20260920
S027,2025-01-01,2026-12-31,Central,Central manager 1,1,1,synthetic,planning-v2-seed-20260920
S028,2025-01-01,2026-12-31,East,East manager 2,1,1,synthetic,planning-v2-seed-20260920
S029,2025-01-01,2026-12-31,West,West manager 1,1,1,synthetic,planning-v2-seed-20260920
S030,2025-01-01,2026-12-31,East,East manager 2,1,1,synthetic,planning-v2-seed-20260920
S031,2026-07-01,2026-12-31,Central,Central manager 1,1,1,synthetic,planning-v2-seed-20260920
S032,2026-07-01,2026-12-31,West,West manager 2,1,1,synthetic,planning-v2-seed-20260920
S033,2026-07-01,2026-12-31,East,East manager 1,1,1,synthetic,planning-v2-seed-20260920
S034,2026-07-01,2026-12-31,East,East manager 2,1,1,synthetic,planning-v2-seed-20260920
S035,2026-07-01,2026-12-31,West,West manager 1,1,1,synthetic,planning-v2-seed-20260920
