id,customer_id,region,month,cohort,segment,opening_mrr,new_mrr,expansion_mrr,contraction_mrr,churn_mrr,closing_mrr,channel,source_kind,scenario_id
SUB-001-01,SAAS-001,Central,2026-01,2026-01,Growth,0,400,0,0,0,400,Outbound,synthetic,planning-v2-seed-20260920
SUB-001-02,SAAS-001,Central,2026-02,2026-01,Growth,400,0,0,0,0,400,Outbound,synthetic,planning-v2-seed-20260920
SUB-001-03,SAAS-001,Central,2026-03,2026-01,Growth,400,0,0,0,0,400,Outbound,synthetic,planning-v2-seed-20260920
SUB-001-04,SAAS-001,Central,2026-04,2026-01,Growth,400,0,0,0,0,400,Outbound,synthetic,planning-v2-seed-20260920
SUB-001-05,SAAS-001,Central,2026-05,2026-01,Growth,400,0,0,0,0,400,Outbound,synthetic,planning-v2-seed-20260920
SUB-001-06,SAAS-001,Central,2026-06,2026-01,Growth,400,0,0,0,0,400,Outbound,synthetic,planning-v2-seed-20260920
SUB-001-07,SAAS-001,Central,2026-07,2026-01,Growth,400,0,100,0,0,500,Outbound,synthetic,planning-v2-seed-20260920
SUB-001-08,SAAS-001,Central,2026-08,2026-01,Growth,500,0,0,0,0,500,Outbound,synthetic,planning-v2-seed-20260920
SUB-001-09,SAAS-001,Central,2026-09,2026-01,Growth,500,0,0,0,0,500,Outbound,synthetic,planning-v2-seed-20260920
SUB-002-02,SAAS-002,East,2026-02,2026-02,Enterprise,0,525,0,0,0,525,Inbound,synthetic,planning-v2-seed-20260920
SUB-002-03,SAAS-002,East,2026-03,2026-02,Enterprise,525,0,0,0,0,525,Inbound,synthetic,planning-v2-seed-20260920
SUB-002-04,SAAS-002,East,2026-04,2026-02,Enterprise,525,0,0,0,0,525,Inbound,synthetic,planning-v2-seed-20260920
SUB-002-05,SAAS-002,East,2026-05,2026-02,Enterprise,525,0,0,0,0,525,Inbound,synthetic,planning-v2-seed-20260920
SUB-002-06,SAAS-002,East,2026-06,2026-02,Enterprise,525,0,100,0,0,625,Inbound,synthetic,planning-v2-seed-20260920
SUB-002-07,SAAS-002,East,2026-07,2026-02,Enterprise,625,0,0,0,0,625,Inbound,synthetic,planning-v2-seed-20260920
SUB-002-08,SAAS-002,East,2026-08,2026-02,Enterprise,625,0,0,0,0,625,Inbound,synthetic,planning-v2-seed-20260920
SUB-002-09,SAAS-002,East,2026-09,2026-02,Enterprise,625,0,0,0,0,625,Inbound,synthetic,planning-v2-seed-20260920
SUB-003-03,SAAS-003,West,2026-03,2026-03,Scale,0,650,0,0,0,650,Partner,synthetic,planning-v2-seed-20260920
SUB-003-04,SAAS-003,West,2026-04,2026-03,Scale,650,0,0,0,0,650,Partner,synthetic,planning-v2-seed-20260920
SUB-003-05,SAAS-003,West,2026-05,2026-03,Scale,650,0,100,0,0,750,Partner,synthetic,planning-v2-seed-20260920
SUB-003-06,SAAS-003,West,2026-06,2026-03,Scale,750,0,0,0,0,750,Partner,synthetic,planning-v2-seed-20260920
SUB-003-07,SAAS-003,West,2026-07,2026-03,Scale,750,0,0,0,0,750,Partner,synthetic,planning-v2-seed-20260920
SUB-003-08,SAAS-003,West,2026-08,2026-03,Scale,750,0,0,0,0,750,Partner,synthetic,planning-v2-seed-20260920
SUB-003-09,SAAS-003,West,2026-09,2026-03,Scale,750,0,0,75,0,675,Partner,synthetic,planning-v2-seed-20260920
SUB-004-04,SAAS-004,Central,2026-04,2026-04,Growth,0,775,0,0,0,775,Outbound,synthetic,planning-v2-seed-20260920
SUB-004-05,SAAS-004,Central,2026-05,2026-04,Growth,775,0,0,0,0,775,Outbound,synthetic,planning-v2-seed-20260920
SUB-004-06,SAAS-004,Central,2026-06,2026-04,Growth,775,0,0,0,0,775,Outbound,synthetic,planning-v2-seed-20260920
SUB-004-07,SAAS-004,Central,2026-07,2026-04,Growth,775,0,0,0,0,775,Outbound,synthetic,planning-v2-seed-20260920
SUB-004-08,SAAS-004,Central,2026-08,2026-04,Growth,775,0,0,75,0,700,Outbound,synthetic,planning-v2-seed-20260920
SUB-004-09,SAAS-004,Central,2026-09,2026-04,Growth,700,0,0,0,0,700,Outbound,synthetic,planning-v2-seed-20260920
SUB-005-05,SAAS-005,East,2026-05,2026-05,Enterprise,0,900,0,0,0,900,Inbound,synthetic,planning-v2-seed-20260920
SUB-005-06,SAAS-005,East,2026-06,2026-05,Enterprise,900,0,0,0,0,900,Inbound,synthetic,planning-v2-seed-20260920
SUB-005-07,SAAS-005,East,2026-07,2026-05,Enterprise,900,0,0,75,0,825,Inbound,synthetic,planning-v2-seed-20260920
SUB-005-08,SAAS-005,East,2026-08,2026-05,Enterprise,825,0,0,0,0,825,Inbound,synthetic,planning-v2-seed-20260920
SUB-005-09,SAAS-005,East,2026-09,2026-05,Enterprise,825,0,0,0,0,825,Inbound,synthetic,planning-v2-seed-20260920
SUB-006-06,SAAS-006,West,2026-06,2026-06,Scale,0,1025,0,0,0,1025,Partner,synthetic,planning-v2-seed-20260920
SUB-006-07,SAAS-006,West,2026-07,2026-06,Scale,1025,0,0,0,0,1025,Partner,synthetic,planning-v2-seed-20260920
SUB-006-08,SAAS-006,West,2026-08,2026-06,Scale,1025,0,0,0,0,1025,Partner,synthetic,planning-v2-seed-20260920
SUB-006-09,SAAS-006,West,2026-09,2026-06,Scale,1025,0,100,0,0,1125,Partner,synthetic,planning-v2-seed-20260920
SUB-007-01,SAAS-007,Central,2026-01,2026-01,Growth,0,1150,0,0,0,1150,Outbound,synthetic,planning-v2-seed-20260920
SUB-007-02,SAAS-007,Central,2026-02,2026-01,Growth,1150,0,0,0,0,1150,Outbound,synthetic,planning-v2-seed-20260920
SUB-007-03,SAAS-007,Central,2026-03,2026-01,Growth,1150,0,0,0,0,1150,Outbound,synthetic,planning-v2-seed-20260920
SUB-007-04,SAAS-007,Central,2026-04,2026-01,Growth,1150,0,0,0,0,1150,Outbound,synthetic,planning-v2-seed-20260920
SUB-007-05,SAAS-007,Central,2026-05,2026-01,Growth,1150,0,0,75,0,1075,Outbound,synthetic,planning-v2-seed-20260920
SUB-007-06,SAAS-007,Central,2026-06,2026-01,Growth,1075,0,0,0,0,1075,Outbound,synthetic,planning-v2-seed-20260920
SUB-007-07,SAAS-007,Central,2026-07,2026-01,Growth,1075,0,0,0,0,1075,Outbound,synthetic,planning-v2-seed-20260920
SUB-007-08,SAAS-007,Central,2026-08,2026-01,Growth,1075,0,100,0,0,1175,Outbound,synthetic,planning-v2-seed-20260920
SUB-007-09,SAAS-007,Central,2026-09,2026-01,Growth,1175,0,0,0,0,1175,Outbound,synthetic,planning-v2-seed-20260920
SUB-008-02,SAAS-008,East,2026-02,2026-02,Enterprise,0,1275,0,0,0,1275,Inbound,synthetic,planning-v2-seed-20260920
SUB-008-03,SAAS-008,East,2026-03,2026-02,Enterprise,1275,0,0,0,0,1275,Inbound,synthetic,planning-v2-seed-20260920
SUB-008-04,SAAS-008,East,2026-04,2026-02,Enterprise,1275,0,0,75,0,1200,Inbound,synthetic,planning-v2-seed-20260920
SUB-008-05,SAAS-008,East,2026-05,2026-02,Enterprise,1200,0,0,0,0,1200,Inbound,synthetic,planning-v2-seed-20260920
SUB-008-06,SAAS-008,East,2026-06,2026-02,Enterprise,1200,0,0,0,0,1200,Inbound,synthetic,planning-v2-seed-20260920
SUB-008-07,SAAS-008,East,2026-07,2026-02,Enterprise,1200,0,100,0,0,1300,Inbound,synthetic,planning-v2-seed-20260920
SUB-008-08,SAAS-008,East,2026-08,2026-02,Enterprise,1300,0,0,0,0,1300,Inbound,synthetic,planning-v2-seed-20260920
SUB-008-09,SAAS-008,East,2026-09,2026-02,Enterprise,1300,0,0,0,0,1300,Inbound,synthetic,planning-v2-seed-20260920
SUB-009-03,SAAS-009,West,2026-03,2026-03,Scale,0,1400,0,0,0,1400,Partner,synthetic,planning-v2-seed-20260920
SUB-009-04,SAAS-009,West,2026-04,2026-03,Scale,1400,0,0,0,0,1400,Partner,synthetic,planning-v2-seed-20260920
SUB-009-05,SAAS-009,West,2026-05,2026-03,Scale,1400,0,0,0,0,1400,Partner,synthetic,planning-v2-seed-20260920
SUB-009-06,SAAS-009,West,2026-06,2026-03,Scale,1400,0,100,0,0,1500,Partner,synthetic,planning-v2-seed-20260920
SUB-009-07,SAAS-009,West,2026-07,2026-03,Scale,1500,0,0,0,0,1500,Partner,synthetic,planning-v2-seed-20260920
SUB-009-08,SAAS-009,West,2026-08,2026-03,Scale,1500,0,0,0,0,1500,Partner,synthetic,planning-v2-seed-20260920
SUB-009-09,SAAS-009,West,2026-09,2026-03,Scale,1500,0,0,0,0,1500,Partner,synthetic,planning-v2-seed-20260920
SUB-010-04,SAAS-010,Central,2026-04,2026-04,Growth,0,1525,0,0,0,1525,Outbound,synthetic,planning-v2-seed-20260920
SUB-010-05,SAAS-010,Central,2026-05,2026-04,Growth,1525,0,100,0,0,1625,Outbound,synthetic,planning-v2-seed-20260920
SUB-010-06,SAAS-010,Central,2026-06,2026-04,Growth,1625,0,0,0,0,1625,Outbound,synthetic,planning-v2-seed-20260920
SUB-010-07,SAAS-010,Central,2026-07,2026-04,Growth,1625,0,0,0,0,1625,Outbound,synthetic,planning-v2-seed-20260920
SUB-010-08,SAAS-010,Central,2026-08,2026-04,Growth,1625,0,0,0,0,1625,Outbound,synthetic,planning-v2-seed-20260920
SUB-010-09,SAAS-010,Central,2026-09,2026-04,Growth,1625,0,0,0,0,1625,Outbound,synthetic,planning-v2-seed-20260920
SUB-011-05,SAAS-011,East,2026-05,2026-05,Enterprise,0,400,0,0,0,400,Inbound,synthetic,planning-v2-seed-20260920
SUB-011-06,SAAS-011,East,2026-06,2026-05,Enterprise,400,0,0,0,0,400,Inbound,synthetic,planning-v2-seed-20260920
SUB-011-07,SAAS-011,East,2026-07,2026-05,Enterprise,400,0,0,0,0,400,Inbound,synthetic,planning-v2-seed-20260920
SUB-011-08,SAAS-011,East,2026-08,2026-05,Enterprise,400,0,0,0,0,400,Inbound,synthetic,planning-v2-seed-20260920
SUB-011-09,SAAS-011,East,2026-09,2026-05,Enterprise,400,0,0,0,0,400,Inbound,synthetic,planning-v2-seed-20260920
SUB-012-06,SAAS-012,West,2026-06,2026-06,Scale,0,525,0,0,0,525,Partner,synthetic,planning-v2-seed-20260920
